Time,V(1),V(2),V(3),I(C1),I(L1),I(R1),I(V1)
0.0000549999999999999,1.69368960122646,1.64682724955597,0.00898904275823033,0.00468623516704807,0.00468623516704805,0.00468623516704807,-0.00468623516704808
0.0000559999999999999,1.72321461587258,1.67468705146904,0.0094743184022658,0.00485275644035475,0.00485275644035473,0.00485275644035474,-0.00485275644035477
0.0000569999999999999,1.75267160095629,1.70245156151003,0.00997651879672841,0.00502200394462606,0.00502200394462606,0.00502200394462609,-0.0050220039446261
0.0000579999999999999,1.78205939356625,1.73011973030512,0.0104959154293398,0.00519396632611364,0.00519396632611364,0.00519396632611366,-0.00519396632611366
0.0000589999999999999,1.81137683352273,1.7576905125277,0.01103277863929,0.00536863209950248,0.00536863209950248,0.00536863209950251,-0.00536863209950253
0.0000599999999999999,1.84062276342339,1.78516286693903,0.0115873776041336,0.00554598964843596,0.00554598964843597,0.00554598964843598,-0.00554598964843597
0.0000609999999999999,1.869796028689,1.81253575642854,0.0121599803267382,0.00572602722604617,0.00572602722604615,0.00572602722604616,-0.00572602722604618
0.0000619999999999999,1.898895477609,1.83980814805411,0.0127508536222872,0.00590873295548933,0.00590873295548933,0.00590873295548937,-0.00590873295548938
0.0000629999999999999,1.92791996138698,1.86697901308211,0.0133602631053359,0.00609409483048703,0.00609409483048701,0.00609409483048704,-0.00609409483048703
0.0000639999999999999,1.95686833418601,1.89404732702729,0.0139884731769231,0.00628210071587205,0.00628210071587204,0.0062821007158721,-0.0062821007158721
0.0000649999999999999,1.9857394531739,1.9210120696925,0.0146357470117371,0.00647273834814013,0.00647273834814012,0.00647273834814015,-0.00647273834814013
0.0000659999999999999,2.01453217856831,1.94787222520825,0.0153023465453377,0.00666599533600641,0.00666599533600641,0.00666599533600643,-0.00666599533600643
0.0000669999999999999,2.04324537368174,1.97462678207207,0.0159885324614345,0.00686185916096751,0.00686185916096748,0.00686185916096751,-0.00686185916096752
0.0000679999999999999,2.07187790496642,2.00127473318773,0.0166945641792213,0.00706031717786833,0.00706031717786833,0.00706031717786835,-0.00706031717786837
0.0000689999999999999,2.10042864205903,2.02781507590428,0.0174206998407688,0.00726135661547465,0.00726135661547468,0.00726135661547471,-0.00726135661547472
0.0000699999999999999,2.12889645782536,2.05424681205486,0.0181671962984738,0.00746496457705029,0.00746496457705032,0.00746496457705037,-0.00746496457705037
0.0000709999999999999,2.15728022840479,2.0805689479954,0.0189343091025678,0.00767112804093962,0.0076711280409396,0.00767112804093966,-0.00767112804093964
0.0000719999999999999,2.18557883325466,2.10678049464311,0.0197222924886833,0.0078798338611551,0.00787983386115504,0.00787983386115507,-0.00787983386115507
0.0000729999999999999,2.2137911551945,2.1328804675148,0.0205313993654803,0.00809106876796997,0.00809106876796998,0.00809106876797001,-0.00809106876797
0.0000739999999999999,2.24191608045016,2.158867886765,0.0213618813023319,0.00830481936851625,0.00830481936851624,0.00830481936851628,-0.00830481936851626
0.0000749999999999999,2.26995249869773,2.18474177722386,0.0222139885170706,0.00852107214738693,0.00852107214738692,0.00852107214738695,-0.00852107214738695
0.0000759999999999999,2.29789930310744,2.210501168435,0.023087969863795,0.00873981346724409,0.00873981346724404,0.00873981346724406,-0.00873981346724406
0.0000769999999999999,2.32575539038729,2.23614509469298,0.0239840728207381,0.00896102956943128,0.00896102956943126,0.0089610295694313,-0.00896102956943132
